Year,Age,Female,Male,Total,OpenInterval
2003,103,0.544281,0.736107,0.562396,FALSE
2003,104,0.585008,0.849761,0.607157,FALSE
2003,105,0.631057,1.141573,0.663963,FALSE
2003,106,0.687387,2,0.738663,FALSE
2003,107,0.752696,4.216216,0.820441,FALSE
2003,108,0.850649,NA,0.850649,FALSE
2003,109,0.993072,NA,0.993072,FALSE
2003,110,1.792869,NA,1.792869,TRUE
2004,0,0.00457,0.005094,0.004842,FALSE
2004,1,4.05e-4,4.43e-4,4.25e-4,FALSE
2004,2,3.32e-4,4.03e-4,3.69e-4,FALSE
2004,3,2.57e-4,3.36e-4,2.98e-4,FALSE
2004,4,2.46e-4,2.7e-4,2.58e-4,FALSE
2004,5,1.64e-4,2.68e-4,2.18e-4,FALSE
2004,6,1.84e-4,2.24e-4,2.05e-4,FALSE
2004,7,1.57e-4,2.53e-4,2.07e-4,FALSE
2004,8,1.36e-4,2.34e-4,1.88e-4,FALSE
2004,9,1.3e-4,1.65e-4,1.48e-4,FALSE
2004,10,1.14e-4,1.86e-4,1.53e-4,FALSE
2004,11,1.21e-4,1.71e-4,1.48e-4,FALSE
2004,12,8.9e-5,1.45e-4,1.19e-4,FALSE
2004,13,1.48e-4,1.82e-4,1.66e-4,FALSE
2004,14,1.59e-4,2e-4,1.81e-4,FALSE
2004,15,1.48e-4,3.17e-4,2.37e-4,FALSE
2004,16,1.88e-4,3.27e-4,2.61e-4,FALSE
2004,17,1.89e-4,4.15e-4,3.07e-4,FALSE
2004,18,2.22e-4,5.35e-4,3.86e-4,FALSE
2004,19,2.84e-4,5.71e-4,4.33e-4,FALSE
2004,20,2.76e-4,6.24e-4,4.56e-4,FALSE
2004,21,2.98e-4,5.21e-4,4.13e-4,FALSE
2004,22,2.98e-4,5.77e-4,4.42e-4,FALSE
2004,23,3.18e-4,5.69e-4,4.47e-4,FALSE
2004,24,3.25e-4,6.67e-4,5e-4,FALSE
2004,25,4.21e-4,5.95e-4,5.1e-4,FALSE
2004,26,3.99e-4,8.01e-4,6.05e-4,FALSE
2004,27,3.44e-4,7.07e-4,5.29e-4,FALSE
2004,28,3.55e-4,7.87e-4,5.75e-4,FALSE
2004,29,3.83e-4,8.37e-4,6.14e-4,FALSE
2004,30,4.5e-4,7.88e-4,6.22e-4,FALSE
2004,31,4.44e-4,8.56e-4,6.54e-4,FALSE
2004,32,4.6e-4,9.26e-4,6.99e-4,FALSE
2004,33,5.67e-4,0.001069,8.24e-4,FALSE
2004,34,5.74e-4,0.001146,8.65e-4,FALSE
2004,35,6.27e-4,0.001384,0.00101,FALSE
2004,36,6.72e-4,0.00156,0.001118,FALSE
2004,37,7.62e-4,0.001647,0.001215,FALSE
2004,38,8.32e-4,0.001885,0.001376,FALSE
2004,39,8.88e-4,0.002034,0.001472,FALSE
